response_id,timestamp,satisfaction,recommendation,ease_of_use,features,improvement,age_group,user_type,completion_time
1,2025-03-02 18:52:55,3,5,5,Dashboard,Performance,45-54,Premium,524
2,2025-03-02 05:31:55,2,6,2,Reports,Documentation,45-54,Free,251
3,2025-03-09 20:38:55,3,7,2,Customization,Documentation,18-24,Enterprise,408
4,2025-02-12 05:23:55,1,1,5,Integration,Features,35-44,Basic,416
5,2025-03-05 19:55:55,4,1,1,Integration,Support,35-44,Basic,225
6,2025-02-28 04:50:55,2,1,5,Integration,Support,25-34,Premium,407
7,2025-02-12 08:51:55,4,8,3,Integration,UI/UX,18-24,Free,340
8,2025-02-14 16:03:55,1,4,2,Customization,Support,45-54,Basic,554
9,2025-02-15 16:36:55,1,4,5,Analytics,Features,55+,Premium,377
10,2025-03-12 08:32:55,2,9,5,Reports,UI/UX,55+,Free,314
11,2025-03-01 13:02:55,1,8,5,Dashboard,Documentation,45-54,Basic,83
12,2025-02-26 00:14:55,5,1,3,Reports,Features,18-24,Premium,473
13,2025-03-09 12:42:55,4,3,5,Integration,Support,18-24,Basic,332
14,2025-03-04 18:28:55,3,10,2,Dashboard,Performance,35-44,Free,78
15,2025-03-08 18:43:55,2,1,4,Analytics,Documentation,25-34,Premium,185
16,2025-02-23 04:25:55,3,3,1,Reports,Support,18-24,Free,251
17,2025-02-19 10:26:55,4,7,1,Reports,Performance,35-44,Premium,467
18,2025-02-22 23:06:55,4,8,1,Customization,UI/UX,18-24,Free,486
19,2025-02-22 22:46:55,5,10,1,Analytics,UI/UX,35-44,Basic,102
20,2025-02-13 10:29:55,2,9,5,Integration,Support,18-24,Enterprise,100
21,2025-02-27 09:41:55,1,10,1,Customization,Documentation,35-44,Premium,416
22,2025-02-18 03:31:55,5,3,2,Reports,Features,45-54,Premium,107
23,2025-03-01 17:51:55,1,6,2,Integration,Features,25-34,Basic,163
24,2025-02-19 17:33:55,5,8,2,Customization,Performance,35-44,Free,273
25,2025-02-14 20:06:55,5,0,5,Dashboard,Support,45-54,Basic,514
26,2025-03-01 06:31:55,4,10,1,Reports,Features,25-34,Enterprise,367
27,2025-02-26 13:04:55,1,7,2,Customization,Support,45-54,Free,443
28,2025-03-04 03:42:55,1,10,4,Analytics,Features,18-24,Basic,580
29,2025-02-27 08:58:55,4,3,5,Integration,Support,55+,Enterprise,401
30,2025-02-23 19:58:55,3,4,4,Reports,Documentation,35-44,Free,457
31,2025-03-14 10:31:55,5,5,4,Reports,Performance,35-44,Premium,564
32,2025-03-05 18:57:55,1,9,1,Dashboard,Support,35-44,Premium,359
33,2025-03-12 20:01:55,4,10,5,Integration,Performance,35-44,Enterprise,377
34,2025-03-04 04:53:55,1,3,5,Customization,Support,45-54,Enterprise,291
35,2025-03-12 15:08:55,3,6,3,Integration,Performance,55+,Basic,87
36,2025-03-10 14:12:55,2,4,3,Reports,Features,45-54,Basic,204
37,2025-03-08 12:26:55,2,8,2,Customization,Support,18-24,Free,552
38,2025-03-03 23:22:55,3,4,5,Analytics,UI/UX,55+,Premium,270
39,2025-02-14 05:17:55,1,6,3,Customization,Support,45-54,Free,154
40,2025-02-19 21:51:55,2,10,4,Reports,UI/UX,35-44,Free,528
41,2025-03-02 07:40:55,5,7,1,Reports,Features,55+,Premium,274
42,2025-03-01 23:13:55,2,3,4,Integration,Performance,25-34,Free,333
43,2025-02-28 02:18:55,4,10,5,Reports,Performance,35-44,Premium,551
44,2025-02-17 07:45:55,2,9,3,Integration,UI/UX,18-24,Premium,134
45,2025-03-09 09:57:55,1,8,5,Integration,Features,25-34,Premium,142
46,2025-02-28 18:45:55,2,6,3,Analytics,Documentation,35-44,Enterprise,261
47,2025-02-17 17:23:55,4,8,4,Dashboard,Documentation,25-34,Enterprise,378
48,2025-03-12 15:21:55,3,9,2,Dashboard,Support,55+,Premium,141
